Title,Producto y Módulo,Palabras clave BC CSC CM,Categoría,Acceso,Soporte
"¿Es posible anular el cumplimiento de una orden de prestación?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Consultorios"",""TermID"":""af7ddc2f-6cf8-4040-95d5-bffca4d4fee8""}]","[{""Label"":""anular"",""TermID"":""7afa29e5-d8ad-4aaf-84f5-8b517a9656ed""},{""Label"":""ordenDePrestacion"",""TermID"":""5a8ef303-6bbc-470f-bdb5-748156d882ed""},{""Label"":""cumplida"",""TermID"":""35657c8a-c1f8-46cb-ae59-e39f4ac4adc2""},{""Label"":""turno"",""TermID"":""da799543-adb0-4bb8-b07c-d12b3e691044""}]","[{""Label"":""Producto"",""TermID"":""363c915b-eab0-449e-8142-0b0cf9d245da""},{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Historias Clínicas → Buscar un paciente → Seleccionar un suceso → Botón “Órdenes de Prestación”","Externo"
"¿Cómo configuro el sistema para utilizar el validador de siniestros?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Seguridad"",""TermID"":""91b860fb-d3db-4823-955b-e1419676b2d6""}]","[{""Label"":""cargador"",""TermID"":""0f7d4b54-9087-47be-801e-701568c68a10""},{""Label"":""siniestros"",""TermID"":""3e0a9801-3ed2-4c22-b6b7-d6b0f2ed052a""},{""Label"":""validador de siniestro"",""TermID"":""d21b0d3e-6842-46c0-8d65-c394abcc0ad2""}]","[{""Label"":""Solución definitiva"",""TermID"":""eaa1f7aa-a161-45af-a3a0-b4e964f69cf3""},{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Entidades → Financiadores → Seleccionar la ART en cuestión → Editar","Interno"
"¿Cómo configurar la agenda de un profesional para una especialidad en particular?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Turnos"",""TermID"":""1cac52c8-332b-4f02-b0b6-f820e023cdc3""}]","[{""Label"":""especialidad"",""TermID"":""b5194961-30d8-48aa-8320-3b3b62d09040""},{""Label"":""profesional"",""TermID"":""a857ccaf-88cd-454a-88b7-9a108fd21758""},{""Label"":""agenda"",""TermID"":""f1f474cb-65d1-44d2-ae6a-106f19725c85""},{""Label"":""horario"",""TermID"":""580000b6-184f-40f9-8748-7bf787cebb72""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]"," Entidades → Profesionales → Seleccionar el profesional en cuestión → Editar.","Externo"
"¿Por qué un usuario no puede acceder a una página?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Seguridad"",""TermID"":""91b860fb-d3db-4823-955b-e1419676b2d6""}]","[{""Label"":""permiso"",""TermID"":""62788f7c-0d95-4625-b60f-7f0e06956c78""},{""Label"":""rol"",""TermID"":""d061a9e9-f769-4d20-b6a4-a86f78af00d6""},{""Label"":""usuario"",""TermID"":""c84ef1d6-1557-4a9f-9f73-f0fb1cc4dd99""},{""Label"":""opción de menú"",""TermID"":""a08a26c6-3bcb-4060-8a1a-4d791461d6da""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Seguridad → Permisos → Páginas","Externo"
"¿Cómo configurar un almacén? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Seguridad"",""TermID"":""91b860fb-d3db-4823-955b-e1419676b2d6""}]","[{""Label"":""farmacia"",""TermID"":""175196c3-ad40-4bff-bc69-775b238442b7""},{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración → Almacenes → Almacenes ","Externo"
"¿Cómo se visualizan los rubros que integran un almacén? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""},{""Label"":""almacenes"",""TermID"":""f67aa87b-24c6-4bd3-9b06-ce7dbcc33a1f""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración → General → Rubros y Prestaciones","Externo"
"¿Cómo configurar los rubros que integran un almacén? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración → General → Rubros y Prestaciones ","Externo"
"¿Cómo agregar nuevas prácticas y prestaciones?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""},{""Label"":""almacenes"",""TermID"":""f67aa87b-24c6-4bd3-9b06-ce7dbcc33a1f""},{""Label"":""farmacia"",""TermID"":""175196c3-ad40-4bff-bc69-775b238442b7""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""},{""Label"":""stock"",""TermID"":""94b31485-28c9-451c-9f6a-d287f75273c9""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración → General → Rubros y Prestaciones ","Externo"
"¿Cómo parametrizar variables de stock? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""},{""Label"":""almacenes"",""TermID"":""f67aa87b-24c6-4bd3-9b06-ce7dbcc33a1f""},{""Label"":""farmacia"",""TermID"":""175196c3-ad40-4bff-bc69-775b238442b7""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""},{""Label"":""stock"",""TermID"":""94b31485-28c9-451c-9f6a-d287f75273c9""},{""Label"":""medicamentos"",""TermID"":""172369d4-4a6a-4fe6-a49d-c76f96b4cf72""},{""Label"":""cuenta contable"",""TermID"":""7b6b32e5-efad-48a6-acd8-3048d0b609cd""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración → General → Stock ","Externo"
"¿Cómo ingresar stock en un almacén? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""},{""Label"":""almacenes"",""TermID"":""f67aa87b-24c6-4bd3-9b06-ce7dbcc33a1f""},{""Label"":""farmacia"",""TermID"":""175196c3-ad40-4bff-bc69-775b238442b7""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""},{""Label"":""stock"",""TermID"":""94b31485-28c9-451c-9f6a-d287f75273c9""},{""Label"":""medicamentos"",""TermID"":""172369d4-4a6a-4fe6-a49d-c76f96b4cf72""},{""Label"":""lote"",""TermID"":""5c074276-e48d-4e1d-8510-b456d0b8f239""},{""Label"":""cuenta contable"",""TermID"":""7b6b32e5-efad-48a6-acd8-3048d0b609cd""},{""Label"":""ingreso stock"",""TermID"":""1172f6a9-06a1-4e95-962b-160b2ec1b900""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Almacén → Movimiento de Stock → Agregar Movimiento","Externo"
